ProductName,CustomerID,Date,Region,Latitude,Longitude,Price,Segment
Opp-000001,Acct-000007,7/1/2016,Atlanta,33.755431,-84.391561,11993.5,Telecommunications
Opp-000002,Acct-000986,7/1/2016,Atlanta,34.035421299999996,-84.0608807,21243.7,Energy & Manufacturing
Opp-000002,Acct-000986,7/1/2016,Atlanta,34.036374200000004,-84.0633047,17522.2,Energy & Manufacturing
Opp-000003,Acct-000011,7/1/2016,Atlanta,33.755431,-84.391561,11993.5,Media & Content
Opp-000003,Acct-000011,7/1/2016,Atlanta,33.933876500000004,-84.3530428,14536.3,Media & Content
Opp-000004,Acct-000143,7/1/2016,Atlanta,33.783427,-84.38855699999998,15572.8,Professional Services
Opp-000005,Acct-000143,7/1/2016,Atlanta,33.783427,-84.38855699999998,15572.8,Professional Services
Opp-000006,Acct-000011,7/1/2016,Atlanta,33.755431,-84.391561,11993.5,Media & Content
Opp-000007,Acct-000011,7/1/2016,Atlanta,33.933876500000004,-84.3530428,14536.3,Media & Content
Opp-000008,Acct-000191,7/1/2016,Atlanta,33.7775391,-84.42146109999999,22945.84,unknown
Opp-000008,Acct-000191,7/1/2016,Atlanta,33.841315,-84.522539,22804.9,unknown
Opp-000008,Acct-000191,7/1/2016,Atlanta,33.916299,-84.3503,16770.1,unknown
Opp-000008,Acct-000191,7/1/2016,Atlanta,33.915657200000005,-84.34098399999998,15127.9,unknown
Opp-000009,Acct-000950,7/1/2016,Atlanta,33.755431,-84.391561,11993.5,Professional Services
Opp-000009,Acct-000950,7/1/2016,Denver,39.745886,-104.97949960000001,17038.15,Professional Services
Opp-000009,Acct-000950,7/1/2016,Dallas,32.787255,-96.79411800000001,15880.2,Professional Services
Opp-000010,Acct-000427,7/1/2016,Dallas,32.800805,-96.819612,26388.0,Government
Opp-000011,Acct-000427,7/1/2016,Dallas,32.800805,-96.819612,26388.0,Government
Opp-000012,Acct-000034,7/2/2016,Dallas,32.800805,-96.819612,26388.0,Telecommunications
Opp-000012,Acct-000034,7/2/2016,Denver,39.587387299999996,-104.876543,17332.0,Telecommunications
Opp-000012,Acct-000034,7/2/2016,Denver,39.5770328,-104.8631422,33535.3,Telecommunications
Opp-000013,Acct-000469,7/1/2016,Dallas,32.800805,-96.819612,26388.0,Media & Content
Opp-000013,Acct-000469,7/1/2016,Dallas,33.0093307,-96.6764626,24124.8,Media & Content
Opp-000014,Acct-000469,7/1/2016,Dallas,32.787255,-96.79411800000001,15880.2,Media & Content
Opp-000014,Acct-000469,7/1/2016,Dallas,33.0093307,-96.6764626,24124.8,Media & Content
Opp-000015,Acct-000427,7/1/2016,Dallas,32.800805,-96.819612,26388.0,Government
Opp-000016,Acct-000435,7/2/2016,Atlanta,33.755431,-84.391561,11993.5,Telecommunications
Opp-000017,Acct-000938,7/2/2016,Dallas,33.005724,-96.73684300000001,28436.5,Other Industry
Opp-000017,Acct-000938,7/2/2016,Dallas,32.98064,-97.17446,40798.8,Other Industry
Opp-000018,Acct-000938,7/2/2016,Dallas,32.92630250000001,-96.9852418,28130.4,Other Industry
Opp-000019,Acct-000938,7/2/2016,Dallas,33.005724,-96.73684300000001,28436.5,Other Industry
Opp-000019,Acct-000938,7/2/2016,Dallas,32.92630250000001,-96.9852418,28130.4,Other Industry
Opp-000020,Acct-000056,7/5/2016,Dallas,32.99042,-96.651985,132773.25,Finance
Opp-000020,Acct-000056,7/5/2016,Dallas,32.830009999999994,-97.04868,17119.8,Finance
Opp-000021,Acct-000019,7/5/2016,Denver,39.5643596,-104.86654820000001,16752.85,Telecommunications
Opp-000022,Acct-000019,7/5/2016,Dallas,32.800805,-96.819612,26388.0,Telecommunications
Opp-000022,Acct-000019,7/5/2016,Denver,39.5643596,-104.86654820000001,16752.85,Telecommunications
Opp-000023,Acct-001119,7/5/2016,Denver,39.762776,-104.762111,35775.1,Other Industry
Opp-000024,Acct-000019,7/5/2016,Dallas,32.800805,-96.819612,26388.0,Telecommunications
Opp-000025,Acct-001120,7/6/2016,Dallas,32.941359999999996,-97.130087,12000.0,Other Industry
Opp-000026,Acct-000944,7/6/2016,Dallas,32.800805,-96.819612,26388.0,Telecommunications
Opp-000026,Acct-000944,7/6/2016,Dallas,33.0064731,-96.69174559999999,27115.2,Telecommunications
Opp-000026,Acct-000944,7/6/2016,Dallas,32.992076000000004,-96.930441,27768.5,Telecommunications
